idx,n,steps,in,out,epsilon,sigma,eW,truth,tNoise,tBias,dual,tA,tB,envA,prefA,shockT,shockΔ,bfθ,bfp,bfGain,CA,EA,seed,avg,std,delta,mae,tt_converge
98,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,0.3,1,0.6489687759437923,0.007398390409174523,0.03386444813262346,0.20103122405620744,83
99,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,0.8,0,0.6509675439154533,0.0070653449098059175,0.03414993470838934,0.1990324560845465,82
100,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,0.8,1,0.649669105355341,0.007268729546054509,0.03465205800774762,0.200330894644659,83
101,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,N(0.6,0,0.6500057136234402,0.007583329663381977,0.03684439716130128,0.19999428637655978,78
102,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,N(0.6,1,0.6489851050672268,0.007743605135019491,0.034888890288923835,0.20101489493277303,80
103,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,0.15),0,0.6479651903603723,0.007522236595718852,0.038892391935675175,0.20203480963962803,80
104,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,0.15),1,0.6489851050672268,0.007743605135019491,0.034888890288923835,0.20101489493277303,80
105,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,0.3,0,0.6545043304102443,0.00572147714471409,0.019323415538467503,0.19549566958975564,81
106,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,0.3,1,0.648220894677153,0.005340017188753884,0.02144028206876103,0.20177910532284657,82
107,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,0.8,0,0.6481408684796608,0.005231020430380713,0.0186950752398366,0.20185913152033916,79
108,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,0.8,1,0.6489497908021293,0.005508808826204088,0.021773204695156645,0.20105020919787073,82
109,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,N(0.6,0,0.6502273346274808,0.005534335286479905,0.02073057452177751,0.19977266537251964,80
110,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,N(0.6,1,0.6482098196834246,0.00563464163752437,0.020626970798207078,0.20179018031657517,79
111,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,0.15),0,0.6526160691914885,0.005622207700780387,0.018591386407574517,0.19738393080851172,80
112,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.6,0.15),1,0.6482098196834246,0.00563464163752437,0.020626970798207078,0.20179018031657517,79
